Lotto Game,Winning Combination,Winners,Jackpot Prize
2D Sep 25 (2pm),18-08,,
2D Sep 25 (5pm),12-24,,
2D Sep 25 (9pm),Stand by…,,
3D Sep 25 (2pm),8-1-1,,
3D Sep 25 (5pm),2-6-0,,
3D Sep 25 (9pm),Stand by…,,
4D Sep 25,3-0-6-4,*,*
6D Sep 25,4-3-0-6-5-4,0,"1,194,865.08"
6/42 Sep 25,01-36-07-23-15-03,0,"58,291,713.31"
6/45 Sep 25,37-33-38-14-45-32,*,"75,233,668.75"
6/49 Sep 25,30-39-34-17-37-11,0,"25,396,508.95"
6/55 Sep 25,29-47-22-32-50-46,0,"219,836,261.65"
6/58 Sep 25,41-29-43-16-54-27,*,"330,176,,341.88"
